厂商,车型,年款,配置名称,官方指导价(万),特色功能,功能内容
极氪,7X,2025款,100kWh 长续航后驱智驾版,24.99,户外出行拓展套装,智能电动拖车钩、后备厢多功能滑轨 ○选配8000元
极氪,7X,2025款,100kWh 长续航四驱智驾版,26.99,户外出行拓展套装,智能电动拖车钩、后备厢多功能滑轨 ○选配8000元
极氪,7X,2026款,75kWh后驱 Max版,22.98,户外出行拓展套装,
极氪,7X,2026款,103kWh后驱 Max版,24.98,户外出行拓展套装,
极氪,7X,2026款,103kWh四驱 Ultra版,26.98,户外出行拓展套装,
极氪,7X,2025款,75kWh 后驱智驾版,22.99,户外出行拓展套装,智能电动拖车钩、后备厢多功能滑轨 ○选配8000元
极氪,7X,2025款,100kWh 长续航后驱智驾版,24.99,户外出行拓展套装,智能电动拖车钩、后备厢多功能滑轨 ○选配8000元
极氪,7X,2025款,100kWh 长续航四驱智驾版,26.99,户外出行拓展套装,智能电动拖车钩、后备厢多功能滑轨 ○选配8000元
一汽丰田,丰田bZ3,2024款,长续航PRO,18.98,先进舒适套装,多色室内氛围灯/DMS驾驶员监控系统/前排、后排座椅加热/高端仿皮（透气）座椅/电动4向可调节前排乘客座椅/真皮方向盘带加热 ○选配6500元
一汽丰田,丰田bZ3,2024款,长续航PRO,18.98,先进舒适套装,多色室内氛围灯/DMS驾驶员监控系统/前排、后排座椅加热/高端仿皮（透气）座椅/电动4向可调节前排乘客座椅/真皮方向盘带加热 ○选配6500元
一汽丰田,丰田bZ3,2026款,智享家 JOY,10.98,先进舒适套装,
一汽丰田,丰田bZ3,2026款,智享家 PRO,12.98,先进舒适套装,
一汽丰田,丰田bZ3,2026款,智享家 PRO+,13.98,先进舒适套装,
一汽丰田,丰田bZ3,2026款,智享家 MAX,15.98,先进舒适套装,
一汽丰田,丰田bZ3,2024款,精英PRO,16.98,先进舒适套装,
一汽丰田,丰田bZ3,2024款,长续航PRO,18.98,先进舒适套装,多色室内氛围灯/DMS驾驶员监控系统/前排、后排座椅加热/高端仿皮（透气）座椅/电动4向可调节前排乘客座椅/真皮方向盘带加热 ○选配6500元
一汽丰田,丰田bZ3,2024款,长续航Premium,19.98,先进舒适套装,
比亚迪,海豹,2025款,600四驱智驾版,23.98,iTAC智能扭矩控制系统,●标配
比亚迪,海豹,2024款,650KM 荣耀版 四驱性能版,24.98,iTAC智能扭矩控制系统,●标配
比亚迪,海豹,2025款,510智航版,17.58,iTAC智能扭矩控制系统,
比亚迪,海豹,2025款,650智航版,18.98,iTAC智能扭矩控制系统,
比亚迪,海豹,2025款,改款 650智驾版,21.68,iTAC智能扭矩控制系统,
比亚迪,海豹,2025款,改款 600四驱智驾版,23.98,iTAC智能扭矩控制系统,●标配
比亚迪,海豹,2025款,510标准版,17.58,iTAC智能扭矩控制系统,
比亚迪,海豹,2025款,650长续航版,18.98,iTAC智能扭矩控制系统,
比亚迪,海豹,2025款,650智驾版,21.68,iTAC智能扭矩控制系统,
比亚迪,海豹,2025款,600四驱智驾版,23.98,iTAC智能扭矩控制系统,●标配
上汽通用五菱,五菱宏光MINIEV,2025款,205km 磷酸铁锂 四门版 进阶款,4.48,个性选装包,菱眸双目LED大灯、套色车顶 ○选配暂无价格
上汽通用五菱,五菱宏光MINIEV,2025款,205km 磷酸铁锂 四门版 进阶款,4.48,个性选装包,菱眸双目LED大灯、套色车顶 ○选配暂无价格
上汽通用五菱,五菱宏光MINIEV,2025款,205km 磷酸铁锂 四门版 臻享款,4.98,个性选装包,
上汽通用五菱,五菱宏光MINIEV,2025款,205km 磷酸铁锂 四门版 臻享+款,5.08,个性选装包,
上汽通用五菱,五菱宏光MINIEV,2025款,301km 四门版 臻享+款,5.58,个性选装包,
上汽通用五菱,五菱宏光MINIEV,2024款,120km 磷酸铁锂,3.58,个性选装包,
上汽通用五菱,五菱宏光MINIEV,2024款,170km 三元锂,4.18,个性选装包,
上汽通用五菱,五菱宏光MINIEV,2024款,170km 磷酸铁锂,4.18,个性选装包,
上汽通用五菱,五菱宏光MINIEV,2024款,215km青春版 磷酸铁锂,4.08,个性选装包,
上汽通用五菱,五菱宏光MINIEV,2024款,215km进阶版 磷酸铁锂,4.68,个性选装包,
上汽奥迪,奥迪Q5 e-tron,2024款,50 e-tron quattro 光耀型 锦衣套装,36.75,冬暖套装,远程空调启动及全车加热预约、前风窗舒适加热、环保节能热泵空调系统 ○选配10000元
上汽奥迪,奥迪Q5 e-tron,2024款,50 e-tron quattro 光耀型 机甲套装,36.75,冬暖套装,远程空调启动及全车加热预约、前风窗舒适加热、环保节能热泵空调系统 ○选配10000元
上汽奥迪,奥迪Q5 e-tron,2023款,40 e-tron 闪耀型 锦衣套装,29.85,冬暖套装,远程空调启动及全车加热预约、前风窗舒适加热、环保节能热泵空调系统 ○选配10000元
上汽奥迪,奥迪Q5 e-tron,2023款,40 e-tron 闪耀型 机甲套装,29.85,冬暖套装,远程空调启动及全车加热预约、前风窗舒适加热、环保节能热泵空调系统 ○选配10000元
上汽奥迪,奥迪Q5 e-tron,2023款,40 e-tron 星耀型 锦衣套装,31.25,冬暖套装,远程空调启动及全车加热预约、前风窗舒适加热、环保节能热泵空调系统 ○选配10000元
上汽奥迪,奥迪Q5 e-tron,2023款,40 e-tron 星耀型 机甲套装,31.25,冬暖套装,远程空调启动及全车加热预约、前风窗舒适加热、环保节能热泵空调系统 ○选配10000元
上汽奥迪,奥迪Q5 e-tron,2023款,50 e-tron quattro 荣耀型 锦衣套装,41.55,冬暖套装,远程空调启动及全车加热预约、前风窗舒适加热、环保节能热泵空调系统 ○选配10000元
上汽奥迪,奥迪Q5 e-tron,2023款,50 e-tron quattro 荣耀型 机甲套装,41.55,冬暖套装,远程空调启动及全车加热预约、前风窗舒适加热、环保节能热泵空调系统 ○选配10000元
上汽奥迪,奥迪A7L,2025款,55 TFSI quattro 旗舰型,60.47,冬暖套装,四幅多功能真皮方向盘，带换挡拨片及加热功能、可加热前后排座椅 ○选配暂无价格
上汽奥迪,奥迪A7L,2025款,55 TFSI quattro 旗舰型,60.47,冬暖套装,四幅多功能真皮方向盘，带换挡拨片及加热功能、可加热前后排座椅 ○选配暂无价格
深蓝汽车,深蓝S05,2024款,510Plus纯电版,12.59,DEEPAL 4K智趣云台相机,○选配3999元
深蓝汽车,深蓝S05,2024款,510Max纯电版,13.59,DEEPAL 4K智趣云台相机,○选配3999元
深蓝汽车,深蓝S05,2024款,510Ultra纯电版,14.59,DEEPAL 4K智趣云台相机,○选配3999元
深蓝汽车,深蓝S05,2024款,200Max增程远航版,13.59,DEEPAL 4K智趣云台相机,○选配3999元
深蓝汽车,深蓝S05,2024款,200Ultra增程远航版,14.59,DEEPAL 4K智趣云台相机,○选配3999元
深蓝汽车,深蓝S05,2024款,510Plus纯电版,12.59,DEEPAL 4K智趣云台相机,○选配3999元
深蓝汽车,深蓝S05,2024款,510Max纯电版,13.59,DEEPAL 4K智趣云台相机,○选配3999元
深蓝汽车,深蓝S05,2024款,510Ultra纯电版,14.59,DEEPAL 4K智趣云台相机,○选配3999元
深蓝汽车,深蓝S05,2024款,200Max增程远航版,13.59,DEEPAL 4K智趣云台相机,○选配3999元
深蓝汽车,深蓝S05,2024款,200Ultra增程远航版,14.59,DEEPAL 4K智趣云台相机,○选配3999元
小鹏汽车,小鹏X9,2024款,610长续航Pro,35.98,座舱升级套装,二排零重力太空大沙发、一键零重力坐姿、全粒面头层Nappa真皮座椅、座椅18向电动调节（含4向腰托/4向腿托/4向头枕）、双50W风冷手机无线快充、翻转式杯托、前排全粒面头层Nappa真皮座椅、智能香氛系统（含3种大师定制香） ○选配16000元
小鹏汽车,小鹏X9,2024款,610长续航Max,37.98,座舱升级套装,二排零重力太空大沙发、一键零重力坐姿、全粒面头层Nappa真皮座椅、座椅18向电动调节（含4向腰托/4向腿托/4向头枕）、双50W风冷手机无线快充、翻转式杯托、前排全粒面头层Nappa真皮座椅、智能香氛系统（含3种大师定制香） ○选配16000元
小鹏汽车,小鹏X9,2024款,702超长续航Pro,37.98,座舱升级套装,二排零重力太空大沙发、一键零重力坐姿、全粒面头层Nappa真皮座椅、座椅18向电动调节（含4向腰托/4向腿托/4向头枕）、双50W风冷手机无线快充、翻转式杯托、前排全粒面头层Nappa真皮座椅、智能香氛系统（含3种大师定制香） ○选配16000元
小鹏汽车,小鹏X9,2024款,702超长续航Max,39.98,座舱升级套装,二排零重力太空大沙发、一键零重力坐姿、全粒面头层Nappa真皮座椅、座椅18向电动调节（含4向腰托/4向腿托/4向头枕）、双50W风冷手机无线快充、翻转式杯托、前排全粒面头层Nappa真皮座椅、智能香氛系统（含3种大师定制香） ○选配16000元
小鹏汽车,小鹏X9,2024款,640四驱高性能Max,41.98,座舱升级套装,二排零重力太空大沙发、一键零重力坐姿、全粒面头层Nappa真皮座椅、座椅18向电动调节（含4向腰托/4向腿托/4向头枕）、双50W风冷手机无线快充、翻转式杯托、前排全粒面头层Nappa真皮座椅、智能香氛系统（含3种大师定制香） ○选配16000元
小鹏汽车,小鹏X9,2024款,610长续航Pro,35.98,座舱升级套装,二排零重力太空大沙发、一键零重力坐姿、全粒面头层Nappa真皮座椅、座椅18向电动调节（含4向腰托/4向腿托/4向头枕）、双50W风冷手机无线快充、翻转式杯托、前排全粒面头层Nappa真皮座椅、智能香氛系统（含3种大师定制香） ○选配16000元
小鹏汽车,小鹏X9,2024款,610长续航Max,37.98,座舱升级套装,二排零重力太空大沙发、一键零重力坐姿、全粒面头层Nappa真皮座椅、座椅18向电动调节（含4向腰托/4向腿托/4向头枕）、双50W风冷手机无线快充、翻转式杯托、前排全粒面头层Nappa真皮座椅、智能香氛系统（含3种大师定制香） ○选配16000元
小鹏汽车,小鹏X9,2024款,702超长续航Pro,37.98,座舱升级套装,二排零重力太空大沙发、一键零重力坐姿、全粒面头层Nappa真皮座椅、座椅18向电动调节（含4向腰托/4向腿托/4向头枕）、双50W风冷手机无线快充、翻转式杯托、前排全粒面头层Nappa真皮座椅、智能香氛系统（含3种大师定制香） ○选配16000元
小鹏汽车,小鹏X9,2024款,702超长续航Max,39.98,座舱升级套装,二排零重力太空大沙发、一键零重力坐姿、全粒面头层Nappa真皮座椅、座椅18向电动调节（含4向腰托/4向腿托/4向头枕）、双50W风冷手机无线快充、翻转式杯托、前排全粒面头层Nappa真皮座椅、智能香氛系统（含3种大师定制香） ○选配16000元
小鹏汽车,小鹏X9,2024款,640四驱高性能Max,41.98,座舱升级套装,二排零重力太空大沙发、一键零重力坐姿、全粒面头层Nappa真皮座椅、座椅18向电动调节（含4向腰托/4向腿托/4向头枕）、双50W风冷手机无线快充、翻转式杯托、前排全粒面头层Nappa真皮座椅、智能香氛系统（含3种大师定制香） ○选配16000元
吉利银河,EM-i,2026款,135KM 星舰版,12.98,续航包,29.8KWh神盾金砖电芯（升至200km续航） ○选配10000元
吉利银河,EM-i,2026款,130KM 启航版,10.18,续航包,
吉利银河,EM-i,2026款,135KM 智航版,11.28,续航包,
吉利银河,EM-i,2026款,135KM 领航版,12.18,续航包,
吉利银河,EM-i,2026款,135KM 星舰版,12.98,续航包,29.8KWh神盾金砖电芯（升至200km续航） ○选配10000元
吉利银河,EM-i,2025款,55KM 启航版,9.78,续航包,
吉利银河,EM-i,2025款,55KM 探索版,10.78,续航包,
吉利银河,EM-i,2025款,120KM 启航+版,11.08,续航包,
吉利银河,EM-i,2025款,120KM 探索+版,12.08,续航包,
吉利银河,EM-i,2025款,120KM 领航版,13.08,续航包,
极氪,ZEEKR 009,2024款,光辉 四驱 108kWh,78.9,侧窗LC隐私调光玻璃,●标配
极氪,ZEEKR 009,2024款,光辉 四驱 108kWh,78.9,侧窗LC隐私调光玻璃,●标配
极氪,009,2024款,七座过道版 两驱 108kWh,43.9,侧窗LC隐私调光玻璃,
极氪,009,2024款,七座过道版 四驱 108kWh,45.9,侧窗LC隐私调光玻璃,
极氪,009,2024款,六座行政版 四驱 108kWh,46.9,侧窗LC隐私调光玻璃,
极氪,009,2024款,七座过道版 两驱 140kWh,48.9,侧窗LC隐私调光玻璃,
极氪,009,2024款,七座过道版 四驱 140kWh,50.9,侧窗LC隐私调光玻璃,
极氪,009,2024款,六座行政版 四驱 140kWh,51.9,侧窗LC隐私调光玻璃,
极氪,009,2024款,光辉 四驱 108kWh,78.9,侧窗LC隐私调光玻璃,●标配
极氪,009,2024款,光辉 典藏版 四驱 108kWh,89.9,侧窗LC隐私调光玻璃,●标配
极氪,ZEEKR 009,2024款,光辉 四驱 108kWh,78.9,双电子保险柜,●标配
极氪,ZEEKR 009,2024款,光辉 四驱 108kWh,78.9,双电子保险柜,●标配
极氪,009,2024款,七座过道版 两驱 108kWh,43.9,双电子保险柜,
极氪,009,2024款,七座过道版 四驱 108kWh,45.9,双电子保险柜,
极氪,009,2024款,六座行政版 四驱 108kWh,46.9,双电子保险柜,
极氪,009,2024款,七座过道版 两驱 140kWh,48.9,双电子保险柜,
极氪,009,2024款,七座过道版 四驱 140kWh,50.9,双电子保险柜,
极氪,009,2024款,六座行政版 四驱 140kWh,51.9,双电子保险柜,
极氪,009,2024款,光辉 四驱 108kWh,78.9,双电子保险柜,●标配
极氪,009,2024款,光辉 典藏版 四驱 108kWh,89.9,双电子保险柜,●标配
江淮汽车,尊界S800,2025款,纯电 星辉尊享版 5座,70.8,后排智能交互系统,隐私巨幕套件+后排智能交互系统 ○选配60000元
江淮汽车,尊界S800,2025款,增程 星辉尊享版 5座,70.8,后排智能交互系统,隐私巨幕套件+后排智能交互系统 ○选配60000元
江淮汽车,尊界S800,2025款,增程 星耀尊享版 5座,78.8,后排智能交互系统,隐私巨幕套件+后排智能交互系统 ○选配60000元
江淮汽车,尊界S800,2025款,纯电  星辉行政版 4座,81.8,后排智能交互系统,隐私巨幕套件+后排智能交互系统 ○选配60000元
江淮汽车,尊界S800,2025款,增程 星辉行政版 4座,81.8,后排智能交互系统,隐私巨幕套件+后排智能交互系统 ○选配60000元
江淮汽车,尊界S800,2025款,纯电 星辉尊享版 5座,70.8,后排智能交互系统,隐私巨幕套件+后排智能交互系统 ○选配60000元
江淮汽车,尊界S800,2025款,增程 星辉尊享版 5座,70.8,后排智能交互系统,隐私巨幕套件+后排智能交互系统 ○选配60000元
江淮汽车,尊界S800,2025款,增程 星耀尊享版 5座,78.8,后排智能交互系统,隐私巨幕套件+后排智能交互系统 ○选配60000元
江淮汽车,尊界S800,2025款,纯电  星辉行政版 4座,81.8,后排智能交互系统,隐私巨幕套件+后排智能交互系统 ○选配60000元
江淮汽车,尊界S800,2025款,增程 星辉行政版 4座,81.8,后排智能交互系统,隐私巨幕套件+后排智能交互系统 ○选配60000元
领克,领克900,2025款,1.5T Ultra,33.69,贯穿式科技交互屏,○选配5000元
领克,领克900,2025款,2.0T Ultra,36.69,贯穿式科技交互屏,○选配5000元
领克,领克900,2025款,2.0T 探索版,41.69,贯穿式科技交互屏,○选配5000元
领克,领克900,2025款,1.5T Ultra,33.69,贯穿式科技交互屏,○选配5000元
领克,领克900,2025款,2.0T Ultra,36.69,贯穿式科技交互屏,○选配5000元
领克,领克900,2025款,2.0T 探索版,41.69,贯穿式科技交互屏,○选配5000元
领克,领克900,2025款,1.5T Halo,30.99,贯穿式科技交互屏,
领克,领克900,2025款,1.5T Ultra,33.69,贯穿式科技交互屏,○选配5000元
领克,领克900,2025款,2.0T Ultra,36.69,贯穿式科技交互屏,○选配5000元
领克,领克900,2025款,2.0T 探索版,41.69,贯穿式科技交互屏,○选配5000元
奇瑞汽车,捷途山海L7,2025款,1.5TD DHT 舒享版,14.98,7座选装包,○选配4000元
奇瑞汽车,捷途山海L7,2024款,1.5TD DHT PRO,12.98,7座选装包,○选配4000元
奇瑞汽车,捷途山海L7,2024款,1.5TD DHT MAX,14.28,7座选装包,○选配4000元
奇瑞汽车,捷途山海L7,2024款,1.5TD DHT MAX+,15.28,7座选装包,○选配4000元
奇瑞汽车,捷途山海L7,2024款,1.5TD DHT ULTRA,15.98,7座选装包,○选配4000元
奇瑞汽车,风云T8,2025款,1.5L 65km舒适版,10.39,7座选装包,2＋3＋2座椅布局 ○选配4000元
奇瑞汽车,风云T8,2025款,1.5L 65km豪华版,11.39,7座选装包,2＋3＋2座椅布局 ○选配4000元
奇瑞汽车,风云T8,2025款,1.5T 130km舒适版,11.69,7座选装包,2＋3＋2座椅布局 ○选配4000元
奇瑞汽车,风云T8,2025款,1.5T 130km豪华版,12.69,7座选装包,2＋3＋2座椅布局 ○选配4000元
奇瑞汽车,风云T8,2025款,1.5T 130km尊贵版,13.69,7座选装包,2＋3＋2座椅布局 ○选配4000元
广汽埃安新能源,AION V,2024款,520 智享版,12.98,多种电池包,62.268kWh/62.27kWh/62.681kWh三种电池包容量随机搭配，具体电池包情况以实际商品车为准 ○选配暂无价格
广汽埃安新能源,AION V,2024款,520 智豪版,13.98,多种电池包,62.268kWh/62.27kWh/62.681kWh三种电池包容量随机搭配，具体电池包情况以实际商品车为准 ○选配暂无价格
广汽埃安新能源,AION V,2024款,520 智尊版,14.98,多种电池包,62.268kWh/62.27kWh/62.681kWh三种电池包容量随机搭配，具体电池包情况以实际商品车为准 ○选配暂无价格
广汽埃安新能源,AION V,2024款,650 智豪版,14.98,多种电池包,74.976kWh/75.26kWh两种电池包容量随机搭配，具体电池包情况以实际商品车为准 ○选配暂无价格
广汽埃安新能源,AION V,2024款,650 智尊版,15.98,多种电池包,74.976kWh/75.26kWh两种电池包容量随机搭配，具体电池包情况以实际商品车为准 ○选配暂无价格
广汽埃安新能源,AION V,2024款,520 激光雷达版,16.98,多种电池包,74.976kWh/75.26kWh两种电池包容量随机搭配，具体电池包情况以实际商品车为准 ○选配暂无价格
广汽埃安新能源,AION V,2024款,650 激光雷达版,18.98,多种电池包,74.976kWh/75.26kWh两种电池包容量随机搭配，具体电池包情况以实际商品车为准 ○选配暂无价格
广汽埃安新能源,UT,2025款,420 智享版,8.38,多种电池包,44.257/44.12/44.133Wh三种电池包容量随机搭配，具体电池包情况以实际商品车为准 ○选配暂无价格
广汽埃安新能源,UT,2025款,420 智豪版,8.98,多种电池包,44.257/44.12/44.133Wh三种电池包容量随机搭配，具体电池包情况以实际商品车为准 ○选配暂无价格
广汽埃安新能源,UT,2025款,420 智尊版,10.18,多种电池包,44.257/44.12/44.133Wh三种电池包容量随机搭配，具体电池包情况以实际商品车为准 ○选配暂无价格
领克,领克Z10,2024款,95kWh 806km后驱智驾Max,22.88,都市天际线幻彩RGB灯带,○选配5000元
领克,领克Z10,2024款,95kWh 702km四驱智驾Ultra,26.28,都市天际线幻彩RGB灯带,●标配
领克,领克Z10,2024款,STARBUFF 95kWh 680km四驱智驾,28.28,都市天际线幻彩RGB灯带,●标配
领克,领克Z10,2025款,95kWh 702km四驱Halo,22.98,都市天际线幻彩RGB灯带,
领克,领克Z10,2024款,71kWh 602km后驱Pro,18.68,都市天际线幻彩RGB灯带,
领克,领克Z10,2024款,95kWh 766km后驱Max,20.68,都市天际线幻彩RGB灯带,
领克,领克Z10,2024款,STARBUFF 95kWh 766km后驱,21.68,都市天际线幻彩RGB灯带,
领克,领克Z10,2024款,95kWh 806km后驱智驾Max,22.88,都市天际线幻彩RGB灯带,○选配5000元
领克,领克Z10,2024款,95kWh 702km四驱智驾Ultra,26.28,都市天际线幻彩RGB灯带,●标配
领克,领克Z10,2024款,STARBUFF 95kWh 680km四驱智驾,28.28,都市天际线幻彩RGB灯带,●标配
长城汽车,坦克500 Hi4-T,2023款,改款 2.0T Hi4-T,33.5,户外休闲包,后拖车取电口、拖车装置、牵引资质（最大允许牵引质量2500kg） ○选配暂无价格
长城汽车,坦克300,2025款,2.0T 汽油版挑战者,19.98,户外休闲包,后拖车取电口+拖车装置+牵引资质（最大允许牵引质量2500kg） ○选配3000元
长城汽车,坦克300,2025款,2.0T 汽油版征服者,21.68,户外休闲包,后拖车取电口+拖车装置+牵引资质（最大允许牵引质量2500kg） ○选配3000元
长城汽车,坦克300,2025款,2.0T 汽油极地版,22.68,户外休闲包,后拖车取电口+拖车装置+牵引资质（最大允许牵引质量2500kg） ●标配
长城汽车,坦克300,2025款,2.4T 柴油版,23.48,户外休闲包,后拖车取电口+拖车装置+牵引资质（最大允许牵引质量2500kg） ○选配3000元
长城汽车,坦克300,2025款,2.4T 柴油极地版,24.48,户外休闲包,后拖车取电口+拖车装置+牵引资质（最大允许牵引质量2500kg） ●标配
长城汽车,Hi4-T,2026款,2.0T Hi4-T标准版,33.5,户外休闲包,后拖车取电口、拖车装置、牵引资质（最大允许牵引质量2500kg） ○选配3000元
长城汽车,Hi4-T,2026款,2.0T Hi4-T智享版,35.5,户外休闲包,含后拖车取电口+拖车装置+拖车摆动缓解系统+牵引资质(最大允许牵引质量2500kg ○选配3000元
长城汽车,Hi4-T,2024款,2.0T Hi4-T,33.5,户外休闲包,后拖车取电口、拖车装置、牵引资质（最大允许牵引质量2500kg） ○选配暂无价格
长城汽车,Hi4-T,2024款,2.0T Hi4-T 黑武士,34.5,户外休闲包,
极氪,ZEEKR 007,2025款,后驱智驾版 75kWh,20.99,Ice Block冰晶氛围灯,○选配暂无价格
极氪,ZEEKR 007,2025款,长续航后驱智驾版 100kWh,22.99,Ice Block冰晶氛围灯,○选配暂无价格
极氪,ZEEKR 007,2025款,四驱智驾版 75kWh,22.99,Ice Block冰晶氛围灯,○选配暂无价格
极氪,ZEEKR 007,2025款,长续航四驱智驾版 100kWh,25.99,Ice Block冰晶氛围灯,○选配暂无价格
极氪,ZEEKR 007,2025款,四驱性能版 100kWh,29.99,Ice Block冰晶氛围灯,●标配
极氪,007,2025款,后驱智驾版 75kWh,20.99,Ice Block冰晶氛围灯,○选配暂无价格
极氪,007,2025款,长续航后驱智驾版 100kWh,22.99,Ice Block冰晶氛围灯,○选配暂无价格
极氪,007,2025款,四驱智驾版 75kWh,22.99,Ice Block冰晶氛围灯,○选配暂无价格
极氪,007,2025款,长续航四驱智驾版 100kWh,25.99,Ice Block冰晶氛围灯,○选配暂无价格
极氪,007,2025款,四驱性能版 100kWh,29.99,Ice Block冰晶氛围灯,●标配
长城汽车,坦克400 Hi4-T,2024款,越野版,28.58,全地形轮胎（AT）,全地形轮胎（AT） ○选配2000元
长城汽车,坦克400 Hi4-T,2024款,城市版,28.98,全地形轮胎（AT）,全地形轮胎（AT） ○选配2000元
长城汽车,Hi4-T,2026款,2.0T Hi4-T,28.58,全地形轮胎（AT）,全地形轮胎（AT） ○选配2000元
长城汽车,Hi4-T,2026款,2.0T 智享版,29.98,全地形轮胎（AT）,全地形轮胎（AT） ○选配2000元
长城汽车,Hi4-T,2024款,越野版,28.58,全地形轮胎（AT）,全地形轮胎（AT） ○选配2000元
长城汽车,Hi4-T,2024款,城市版,28.98,全地形轮胎（AT）,全地形轮胎（AT） ○选配2000元
长城汽车,Hi4-T,2026款,2.0T Hi4-T,28.58,全地形轮胎（AT）,全地形轮胎（AT） ○选配2000元
长城汽车,Hi4-T,2026款,2.0T 智享版,29.98,全地形轮胎（AT）,全地形轮胎（AT） ○选配2000元
长城汽车,Hi4-T,2024款,越野版,28.58,全地形轮胎（AT）,全地形轮胎（AT） ○选配2000元
长城汽车,Hi4-T,2024款,城市版,28.98,全地形轮胎（AT）,全地形轮胎（AT） ○选配2000元
零跑汽车,零跑C11,2024款,增程式 300尊享版,16.58,Nappa真皮套装,Nappa真皮方向盘、方向盘加热、Nappa真皮座椅、主驾座椅腰部支撑电动4向调节、前排座椅按摩 ○选配5000元
零跑汽车,零跑C11,2024款,增程式 300激光雷达版,18.58,Nappa真皮套装,Nappa真皮方向盘、方向盘加热、Nappa真皮座椅、主驾座椅腰部支撑电动4向调节、前排座椅按摩 ○选配5000元
零跑汽车,零跑C11,2024款,纯电版 580尊享版,15.88,Nappa真皮套装,Nappa真皮方向盘、方向盘加热、Nappa真皮座椅、主驾座椅腰部支撑电动4向调节、前排座椅按摩 ○选配5000元
零跑汽车,零跑C11,2024款,纯电版 580激光雷达版,17.88,Nappa真皮套装,Nappa真皮方向盘、方向盘加热、Nappa真皮座椅、主驾座椅腰部支撑电动4向调节、前排座椅按摩 ○选配5000元
零跑汽车,零跑C11,2024款,纯电版 580四驱激光雷达版,20.58,Nappa真皮套装,Nappa真皮方向盘、方向盘加热、Nappa真皮座椅、主驾座椅腰部支撑电动4向调节、前排座椅按摩 ○选配5000元
零跑汽车,零跑C11,2024款,增程式 300尊享版,16.58,Nappa真皮套装,Nappa真皮方向盘、方向盘加热、Nappa真皮座椅、主驾座椅腰部支撑电动4向调节、前排座椅按摩 ○选配5000元
零跑汽车,零跑C11,2024款,增程式 300激光雷达版,18.58,Nappa真皮套装,Nappa真皮方向盘、方向盘加热、Nappa真皮座椅、主驾座椅腰部支撑电动4向调节、前排座椅按摩 ○选配5000元
零跑汽车,零跑C11,2024款,纯电版 580尊享版,15.88,Nappa真皮套装,Nappa真皮方向盘、方向盘加热、Nappa真皮座椅、主驾座椅腰部支撑电动4向调节、前排座椅按摩 ○选配5000元
零跑汽车,零跑C11,2024款,纯电版 580激光雷达版,17.88,Nappa真皮套装,Nappa真皮方向盘、方向盘加热、Nappa真皮座椅、主驾座椅腰部支撑电动4向调节、前排座椅按摩 ○选配5000元
零跑汽车,零跑C11,2024款,纯电版 580四驱激光雷达版,20.58,Nappa真皮套装,Nappa真皮方向盘、方向盘加热、Nappa真皮座椅、主驾座椅腰部支撑电动4向调节、前排座椅按摩 ○选配5000元
广汽丰田,广汽丰田铂智3X,2025款,520 Pro,12.98,19英寸星芒轮毂套装,○选配3000元
广汽丰田,广汽丰田铂智3X,2025款,520 Pro+,13.98,19英寸星芒轮毂套装,○选配3000元
广汽丰田,铂智3X,2025款,520 Pro,12.98,19英寸星芒轮毂套装,○选配3000元
广汽丰田,铂智3X,2025款,520 Pro+,13.98,19英寸星芒轮毂套装,○选配3000元
广汽丰田,铂智3X,2025款,430 Air,10.98,19英寸星芒轮毂套装,
广汽丰田,铂智3X,2025款,430 Air+,11.98,19英寸星芒轮毂套装,
广汽丰田,铂智3X,2025款,520 Pro,12.98,19英寸星芒轮毂套装,○选配3000元
广汽丰田,铂智3X,2025款,520 Pro+,13.98,19英寸星芒轮毂套装,○选配3000元
广汽丰田,铂智3X,2025款,520 Pro激光雷达版,14.98,19英寸星芒轮毂套装,
广汽丰田,铂智3X,2025款,520 Pro+激光雷达版,15.98,19英寸星芒轮毂套装,
广汽丰田,铂智3X,2025款,610 Max,15.98,19英寸星芒轮毂套装,
吉利银河,银河L6,2024款,龙腾版 1.5T DHT 125km PLUS,11.58,AI车外语音交互,●标配
吉利银河,银河L6,2024款,创想版 1.5T DHT 125km,12.98,AI车外语音交互,●标配
吉利银河,银河L6,2023款,1.5T DHT 60km PLUS,12.28,AI车外语音交互,●标配
吉利银河,银河L6,2023款,1.5T DHT 125km PLUS,13.28,AI车外语音交互,●标配
吉利银河,银河L6,2023款,1.5T DHT 125km MAX,14.28,AI车外语音交互,●标配
吉利银河,银河L6,2023款,1.5T DHT 125km 星舰,14.98,AI车外语音交互,●标配
吉利银河,银河L6,2025款,1.5 EM-i DHT 60KM 启航版,7.98,AI车外语音交互,●标配
吉利银河,银河L6,2025款,1.5 EM-i DHT 60KM 探索版,8.98,AI车外语音交互,●标配
吉利银河,银河L6,2025款,1.5 EM-i DHT 140KM 远航版,9.28,AI车外语音交互,●标配
吉利银河,银河L6,2025款,1.5 EM-i DHT 140KM 探索+版,9.98,AI车外语音交互,●标配
吉利银河,银河L6,2025款,1.5 EM-i DHT 140KM 星舰版,10.68,AI车外语音交互,●标配
